source1_entity_id	candidate_entity_ids
S1-803789876	S2-194558155,S2-278165271,S2-290566664,S2-291398211,S2-316286365,S2-343371328,S2-40822044,S2-430787643,S2-432388152,S2-432453490,S2-44346584,S2-481525261,S2-481752157,S2-512110764,S2-515522182,S2-61610452,S2-686750562,S2-708459796,S2-745121120,S2-7909577,S2-794546692,S2-840075824,S2-907829495,S2-933833431,S2-971134063,S2-989155541,S3-201355244,S3-20318368,S3-291568302,S3-294566034,S3-32858008,S3-344308135,S3-358025756,S3-376028314,S3-412386252,S3-415841902,S3-423407395,S3-432401689,S3-437101190,S3-484292578,S3-490913266,S3-543866364,S3-567202939,S3-581104386,S3-596497808,S3-622129784,S3-677309025,S3-677670824,S3-680898453,S3-682413432,S3-689649824,S3-788737159,S3-805423604,S3-903902054,S3-930697605,S3-941121512,S3-983665693,S3-985263307
S1-513096747	S2-160604610,S2-267266548,S2-278165271,S2-282857163,S2-290566664,S2-291398211,S2-316286365,S2-387480298,S2-430787643,S2-432453490,S2-475268159,S2-481752157,S2-486893233,S2-512110764,S2-554136462,S2-61610452,S2-616754841,S2-676431437,S2-708459796,S2-741378736,S2-7909577,S2-794546692,S2-840075824,S2-907829495,S2-933833431,S2-971134063,S2-989155541,S3-259213910,S3-291568302,S3-294566034,S3-303258157,S3-358025756,S3-376028314,S3-412386252,S3-415841902,S3-423316444,S3-437101190,S3-484292578,S3-510606072,S3-543866364,S3-55776535,S3-581104386,S3-596497808,S3-622129784,S3-635841745,S3-641796713,S3-677670824,S3-680898453,S3-682413432,S3-746755817,S3-805423604,S3-807576958,S3-903902054,S3-930697605,S3-941121512,S3-947297479,S3-985263307
S1-673893110	S2-278165271,S2-28100663,S2-290566664,S2-291398211,S2-316286365,S2-387480298,S2-40822044,S2-430787643,S2-475268159,S2-481525261,S2-481752157,S2-512110764,S2-515522182,S2-56818394,S2-61610452,S2-686750562,S2-708459796,S2-741378736,S2-794546692,S2-798184838,S2-830123977,S2-877714222,S2-907829495,S2-933833431,S2-989155541,S3-21429505,S3-294566034,S3-303258157,S3-32858008,S3-358025756,S3-412386252,S3-415841902,S3-423407395,S3-432401689,S3-437101190,S3-484292578,S3-543866364,S3-567202939,S3-596497808,S3-622129784,S3-645267360,S3-677309025,S3-677670824,S3-680898453,S3-682413432,S3-689649824,S3-72421795,S3-746755817,S3-788737159,S3-860103380,S3-930697605,S3-941121512,S3-947297479,S3-983665693,S3-985263307
S1-658879104	S2-160604610,S2-194558155,S2-28100663,S2-290566664,S2-291398211,S2-316286365,S2-343371328,S2-385024521,S2-387480298,S2-40822044,S2-427057637,S2-430787643,S2-432388152,S2-475268159,S2-481525261,S2-511463159,S2-61610452,S2-616754841,S2-676431437,S2-741378736,S2-745121120,S2-794546692,S2-798184838,S2-830123977,S2-840075824,S2-875702589,S2-930127473,S2-971134063,S2-989155541,S3-201355244,S3-20318368,S3-291568302,S3-303258157,S3-32858008,S3-344308135,S3-368694972,S3-376028314,S3-412386252,S3-423316444,S3-423407395,S3-484292578,S3-510606072,S3-55776535,S3-567202939,S3-586869474,S3-596497808,S3-622129784,S3-635841745,S3-641796713,S3-677309025,S3-677670824,S3-680898453,S3-689649824,S3-72421795,S3-788737159,S3-860103380,S3-903902054,S3-930697605,S3-947297479
S1-571080564	S2-160604610,S2-192397748,S2-194558155,S2-267266548,S2-278165271,S2-291398211,S2-316286365,S2-398050655,S2-40822044,S2-427057637,S2-430787643,S2-44346584,S2-475268159,S2-481525261,S2-481752157,S2-511463159,S2-515522182,S2-56818394,S2-61610452,S2-616754841,S2-741378736,S2-745121120,S2-794546692,S2-798184838,S2-830123977,S2-840075824,S2-877714222,S2-930127473,S2-933833431,S2-971134063,S3-201355244,S3-303258157,S3-32858008,S3-344308135,S3-358025756,S3-376028314,S3-412386252,S3-415841902,S3-423316444,S3-423407395,S3-432401689,S3-437101190,S3-490913266,S3-55776535,S3-586869474,S3-596497808,S3-622129784,S3-635841745,S3-641796713,S3-677309025,S3-72421795,S3-761502823,S3-860103380,S3-930697605,S3-941121512,S3-947297479,S3-983665693,S3-985263307
S1-958893078	S2-160604610,S2-192397748,S2-194558155,S2-266604620,S2-28100663,S2-290566664,S2-291398211,S2-398050655,S2-40822044,S2-427057637,S2-432388152,S2-44346584,S2-475268159,S2-481525261,S2-511463159,S2-512110764,S2-61610452,S2-616754841,S2-676431437,S2-708459796,S2-741378736,S2-745121120,S2-840075824,S2-875702589,S2-877714222,S2-907829495,S2-930127473,S2-933833431,S2-971134063,S2-989155541,S3-20318368,S3-21429505,S3-259213910,S3-32858008,S3-358025756,S3-368694972,S3-412386252,S3-415841902,S3-423316444,S3-423407395,S3-437101190,S3-484292578,S3-490913266,S3-510606072,S3-543866364,S3-581104386,S3-586869474,S3-596497808,S3-622129784,S3-641796713,S3-677309025,S3-680898453,S3-689283925,S3-72421795,S3-761502823,S3-788737159,S3-903902054,S3-930697605,S3-983665693,S3-985263307
S1-439714248	S2-160604610,S2-192397748,S2-194558155,S2-267266548,S2-282857163,S2-290566664,S2-291398211,S2-343371328,S2-385024521,S2-387480298,S2-398050655,S2-40822044,S2-427057637,S2-430787643,S2-432388152,S2-432453490,S2-44346584,S2-512110764,S2-515522182,S2-56818394,S2-61610452,S2-676431437,S2-686750562,S2-708459796,S2-745121120,S2-794546692,S2-840075824,S2-875702589,S2-877714222,S2-907829495,S2-933833431,S3-201355244,S3-20318368,S3-294566034,S3-32858008,S3-358025756,S3-376028314,S3-412386252,S3-415841902,S3-423407395,S3-432401689,S3-484292578,S3-490913266,S3-510606072,S3-543866364,S3-55776535,S3-567202939,S3-586869474,S3-622129784,S3-635841745,S3-641796713,S3-682413432,S3-689283925,S3-689649824,S3-746755817,S3-788737159,S3-860103380,S3-903902054,S3-947297479,S3-985263307
S1-963308026	S2-290566664,S2-291398211,S2-316286365,S2-343371328,S2-385024521,S2-387480298,S2-398050655,S2-40822044,S2-430787643,S2-432453490,S2-44346584,S2-481525261,S2-481752157,S2-512110764,S2-515522182,S2-554136462,S2-61610452,S2-676431437,S2-686750562,S2-708459796,S2-741378736,S2-7909577,S2-794546692,S2-875702589,S2-877714222,S2-907829495,S2-933833431,S2-989155541,S3-303258157,S3-32858008,S3-358025756,S3-376028314,S3-415841902,S3-423316444,S3-423407395,S3-432401689,S3-437101190,S3-484292578,S3-567202939,S3-622129784,S3-645267360,S3-677309025,S3-677670824,S3-680898453,S3-682413432,S3-689649824,S3-72421795,S3-746755817,S3-788737159,S3-860103380,S3-930697605,S3-941121512,S3-947297479,S3-983665693,S3-985263307
S1-832715935	S2-160604610,S2-194558155,S2-266604620,S2-267266548,S2-28100663,S2-343371328,S2-387480298,S2-40822044,S2-427057637,S2-430787643,S2-432388152,S2-481525261,S2-481752157,S2-486893233,S2-515522182,S2-554136462,S2-56818394,S2-676431437,S2-686750562,S2-708459796,S2-745121120,S2-7909577,S2-798184838,S2-830123977,S2-840075824,S2-907829495,S2-933833431,S2-971134063,S3-201355244,S3-20318368,S3-21429505,S3-259213910,S3-291568302,S3-358025756,S3-412386252,S3-423316444,S3-423407395,S3-437101190,S3-484292578,S3-543866364,S3-567202939,S3-581104386,S3-596497808,S3-635841745,S3-641796713,S3-645267360,S3-677309025,S3-680898453,S3-682413432,S3-689283925,S3-689649824,S3-72421795,S3-761502823,S3-788737159,S3-805423604,S3-903902054,S3-930697605,S3-983665693,S3-985263307
S1-510185485	S2-194558155,S2-267266548,S2-282857163,S2-290566664,S2-291398211,S2-387480298,S2-398050655,S2-427057637,S2-430787643,S2-44346584,S2-475268159,S2-481525261,S2-481752157,S2-486893233,S2-512110764,S2-515522182,S2-554136462,S2-61610452,S2-616754841,S2-686750562,S2-708459796,S2-741378736,S2-794546692,S2-798184838,S2-830123977,S2-840075824,S2-875702589,S2-877714222,S2-907829495,S2-933833431,S3-201355244,S3-259213910,S3-291568302,S3-294566034,S3-303258157,S3-32858008,S3-358025756,S3-412386252,S3-415841902,S3-423407395,S3-484292578,S3-490913266,S3-510606072,S3-622129784,S3-635841745,S3-641796713,S3-677309025,S3-680898453,S3-682413432,S3-689283925,S3-72421795,S3-746755817,S3-761502823,S3-860103380,S3-903902054,S3-930697605,S3-941121512,S3-947297479,S3-983665693,S3-985263307
S1-129337069	S2-160604610,S2-267266548,S2-278165271,S2-28100663,S2-282857163,S2-290566664,S2-291398211,S2-316286365,S2-343371328,S2-387480298,S2-40822044,S2-430787643,S2-432453490,S2-44346584,S2-486893233,S2-512110764,S2-515522182,S2-554136462,S2-56818394,S2-61610452,S2-676431437,S2-686750562,S2-69711707,S2-741378736,S2-794546692,S2-798184838,S2-830123977,S2-840075824,S2-877714222,S2-933833431,S3-20318368,S3-21429505,S3-259213910,S3-303258157,S3-32858008,S3-358025756,S3-368694972,S3-376028314,S3-412386252,S3-415841902,S3-432401689,S3-484292578,S3-622129784,S3-635841745,S3-641796713,S3-645267360,S3-677309025,S3-677670824,S3-682413432,S3-689283925,S3-72421795,S3-746755817,S3-761502823,S3-788737159,S3-807576958,S3-860103380,S3-930697605,S3-941121512,S3-947297479,S3-985263307
S1-111681525	S2-194558155,S2-267266548,S2-282857163,S2-291398211,S2-316286365,S2-343371328,S2-385024521,S2-387480298,S2-430787643,S2-432388152,S2-432453490,S2-44346584,S2-475268159,S2-481525261,S2-481752157,S2-512110764,S2-515522182,S2-616754841,S2-676431437,S2-69711707,S2-745121120,S2-794546692,S2-875702589,S2-877714222,S2-907829495,S2-933833431,S2-971134063,S3-291568302,S3-294566034,S3-303258157,S3-32858008,S3-344308135,S3-358025756,S3-423407395,S3-432401689,S3-484292578,S3-490913266,S3-543866364,S3-55776535,S3-567202939,S3-581104386,S3-586869474,S3-596497808,S3-622129784,S3-645267360,S3-677309025,S3-677670824,S3-680898453,S3-682413432,S3-689649824,S3-72421795,S3-746755817,S3-903902054,S3-930697605,S3-947297479,S3-983665693
S1-700448703	S2-192397748,S2-194558155,S2-267266548,S2-290566664,S2-291398211,S2-316286365,S2-343371328,S2-385024521,S2-387480298,S2-40822044,S2-427057637,S2-430787643,S2-432388152,S2-432453490,S2-475268159,S2-481752157,S2-511463159,S2-512110764,S2-515522182,S2-554136462,S2-686750562,S2-708459796,S2-745121120,S2-794546692,S2-840075824,S2-875702589,S2-877714222,S2-930127473,S2-933833431,S3-20318368,S3-259213910,S3-291568302,S3-294566034,S3-32858008,S3-358025756,S3-368694972,S3-412386252,S3-415841902,S3-432401689,S3-437101190,S3-484292578,S3-543866364,S3-567202939,S3-581104386,S3-586869474,S3-596497808,S3-622129784,S3-645267360,S3-677309025,S3-677670824,S3-680898453,S3-682413432,S3-689649824,S3-746755817,S3-761502823,S3-860103380,S3-930697605,S3-947297479,S3-985263307
S1-931072561	S2-160604610,S2-192397748,S2-194558155,S2-266604620,S2-28100663,S2-291398211,S2-343371328,S2-398050655,S2-40822044,S2-427057637,S2-432388152,S2-481525261,S2-481752157,S2-511463159,S2-515522182,S2-56818394,S2-61610452,S2-616754841,S2-676431437,S2-686750562,S2-69711707,S2-708459796,S2-741378736,S2-830123977,S2-840075824,S2-875702589,S2-907829495,S2-933833431,S2-989155541,S3-201355244,S3-20318368,S3-21429505,S3-259213910,S3-303258157,S3-358025756,S3-412386252,S3-423316444,S3-432401689,S3-437101190,S3-484292578,S3-490913266,S3-581104386,S3-586869474,S3-635841745,S3-641796713,S3-677309025,S3-680898453,S3-682413432,S3-689649824,S3-72421795,S3-761502823,S3-788737159,S3-805423604,S3-807576958,S3-903902054,S3-930697605,S3-941121512,S3-947297479,S3-983665693,S3-985263307
